Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",0603,2,22pF,C1653
C103,0603,1,100nF,C14663
"C104, C105",0603,2,1uF,C15849
U101,TQFP-32_7x7mm_P0.8mm,1,ATmega328PB-A,C132230
Y102,Crystal_SMD_HC49-SD,1,X49SM8MSD2SC,C12674
