Designator,Mid X,Mid Y,Rotation,Layer
C101,9.1,16.95,270.0,top
C102,9.1,21.75,270.0,top
C103,17.5,12.85,270.0,top
C104,19.25,26.6,0.0,top
C105,16.0,12.85,270.0,top
U101,18.0,20.35,180.0,top
Y102,5.6,19.25,90.0,top
