Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112",0603,11,100nF,C14663
"C102, C113",0603,2,1uF,C15849
J101,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_Pin,C160403
U101,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U102,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q16JVSS,C131025
