Designator,Mid X,Mid Y,Rotation,Layer
C101,12.0,21.2125,270.0,top
C102,29.5,25.85,90.0,top
C103,31.5,21.85,270.0,top
C104,32.0,24.35,0.0,top
C105,28.0,25.85,90.0,top
C106,26.5,25.85,90.0,top
C107,20.0,18.85,270.0,top
C108,20.0,14.85,270.0,top
C109,25.0,11.85,270.0,top
C110,31.5,18.35,90.0,top
C111,26.75,11.85,90.0,top
C112,25.0,25.85,270.0,top
C113,27.75,23.35,0.0,top
J101,3.25,14.6,270.0,top
U101,26.0,17.85,0.0,top
U102,16.135,18.45,0.0,top
